"Relationship","Gender","Count"
"doctoral advisor","male","167"
"doctoral advisor","female","101"
"doctoral student","male","154"
"doctoral student","female","28"
"student","male","216"
"student","female","14"
"student of","male","284"
"student of","female","63"
