"Job","Total"
"art historian","5703"
"university teacher","489"
"historian","418"
"exhibition curator","391"
"curator","385"
"writer","380"
"archaeologist","189"
"art critic","164"
"journalist","139"
"author","117"
"translator","114"
"teacher","112"
"opinion journalist","104"
"museum director","90"
"painter","88"
"professor","88"
"museologist","76"
"librarian","66"
"artist","58"
"academic","52"
"researcher","52"
